dd
CommandType     Name                                               Version    Source
Function        Get-HyperVSocketTable                              2.0.1      NtObjectManager
Function        Get-IkeSecurityAssociation                         2.0.1      NtObjectManager
Function        Get-IPsecSaContext                                 2.0.1      NtObjectManager
Function        Get-KerberosKey                                    2.0.1      NtObjectManager
Function        Get-KerberosTicket                                 2.0.1      NtObjectManager
Function        Get-LsaAccessToken                                 2.0.1      NtObjectManager
Function        Get-LsaAccount                                     2.0.1      NtObjectManager
Function        Get-LsaAuthToken                                   2.0.1      NtObjectManager
Function        Get-LsaContextSignature                            2.0.1      NtObjectManager
Function        Get-LsaCredential                                  2.0.1      NtObjectManager
Function        Get-LsaCredSSPCredential                           2.0.1      NtObjectManager
Function        Get-LsaName                                        2.0.1      NtObjectManager
Function        Get-LsaPackage                                     2.0.1      NtObjectManager
Function        Get-LsaPolicy                                      2.0.1      NtObjectManager
Function        Get-LsaPrivateData                                 2.0.1      NtObjectManager
Function        Get-LsaSchannelCredential                          2.0.1      NtObjectManager
Function        Get-LsaSecret                                      2.0.1      NtObjectManager
Function        Get-LsaSid                                         2.0.1      NtObjectManager
Function        Get-LsaTrustedDomain                               2.0.1      NtObjectManager
Function        Get-MD4Hash                                        2.0.1      NtObjectManager
Function        Get-NdrComplexType                                 2.0.1      NtObjectManager
Function        Get-NdrComProxy                                    2.0.1      NtObjectManager
Function        Get-NdrRpcServerInterface                          2.0.1      NtObjectManager
Function        Get-NtAccountRight                                 2.0.1      NtObjectManager
Function        Get-NtAccountRightSid                              2.0.1      NtObjectManager
Function        Get-NtAlpcServer                                   2.0.1      NtObjectManager
Function        Get-NtApiSet                                       2.0.1      NtObjectManager
Function        Get-NtAtom                                         2.0.1      NtObjectManager
Function        Get-NtAuditPolicy                                  2.0.1      NtObjectManager
Function        Get-NtAuditSecurity                                2.0.1      NtObjectManager
Function        Get-NtCachedSigningLevel                           2.0.1      NtObjectManager
Function        Get-NtConsoleSession                               2.0.1      NtObjectManager
Function        Get-NtDesktopName                                  2.0.1      NtObjectManager
Function        Get-NtDeviceInterfaceClass                         2.0.1      NtObjectManager
Function        Get-NtDeviceInterfaceInstance                      2.0.1      NtObjectManager
Function        Get-NtDeviceNode                                   2.0.1      NtObjectManager
Function        Get-NtDeviceNodeChild                              2.0.1      NtObjectManager
Function        Get-NtDeviceNodeParent                             2.0.1      NtObjectManager
Function        Get-NtDeviceNodeStack                              2.0.1      NtObjectManager
Function        Get-NtDeviceProperty                               2.0.1      NtObjectManager
Function        Get-NtDeviceSetupClass                             2.0.1      NtObjectManager
Function        Get-NtDirectoryEntry                               2.0.1      NtObjectManager
Function        Get-NtFile8dot3Name                                2.0.1      NtObjectManager
Function        Get-NtFileChange                                   2.0.1      NtObjectManager
Function        Get-NtFileDisposition                              2.0.1      NtObjectManager
Function        Get-NtFileEa                                       2.0.1      NtObjectManager
Function        Get-NtFileItem                                     2.0.1      NtObjectManager
Function        Get-NtFilePath                                     2.0.1      NtObjectManager
Function        Get-NtFilePathType                                 2.0.1      NtObjectManager
Function        Get-NtFileQuota                                    2.0.1      NtObjectManager
Function        Get-NtIoControlCode                                2.0.1      NtObjectManager
Function        Get-NtKernelModule                                 2.0.1      NtObjectManager
Function        Get-NtKeyHive                                      2.0.1      NtObjectManager
Function        Get-NtKeyValue                                     2.0.1      NtObjectManager
Function        Get-NtLicenseValue                                 2.0.1      NtObjectManager
Function        Get-NtLocallyUniqueId                              2.0.1      NtObjectManager
Function        Get-NtLogonSession                                 2.0.1      NtObjectManager
Function        Get-NtMountPoint                                   2.0.1      NtObjectManager
Function        Get-NtObjectFromHandle                             2.0.1      NtObjectManager
Function        Get-NtObjectInformationClass                       2.0.1      NtObjectManager
Function        Get-NtProcessEnvironment                           2.0.1      NtObjectManager
Function        Get-NtProcessMitigationPolicy                      2.0.1      NtObjectManager
Function        Get-NtProcessMitigations                           2.0.1      NtObjectManager
Function        Get-NtProcessUser                                  2.0.1      NtObjectManager
Function        Get-NtSDKName                                      2.0.1      NtObjectManager
Function        Get-NtSecurityDescriptor                           2.0.1      NtObjectManager
Function        Get-NtSecurityDescriptorControl                    2.0.1      NtObjectManager
Function        Get-NtSecurityDescriptorDacl                       2.0.1      NtObjectManager
Function        Get-NtSecurityDescriptorGroup                      2.0.1      NtObjectManager
Function        Get-NtSecurityDescriptorIntegrityLevel             2.0.1      NtObjectManager
Function        Get-NtSecurityDescriptorOwner                      2.0.1      NtObjectManager
Function        Get-NtSecurityDescriptorSacl                       2.0.1      NtObjectManager
Function        Get-NtSidName                                      2.0.1      NtObjectManager
Function        Get-NtSigningLevel                                 2.0.1      NtObjectManager
Function        Get-NtSystemEnvironmentValue                       2.0.1      NtObjectManager
Function        Get-NtSystemInformation                            2.0.1      NtObjectManager
Function        Get-NtThreadContainerId                            2.0.1      NtObjectManager
Function        Get-NtThreadContext                                2.0.1      NtObjectManager
Function        Get-NtThreadWorkOnBehalfTicket                     2.0.1      NtObjectManager
Function        Get-NtTokenFromProcess                             2.0.1      NtObjectManager
Function        Get-NtTokenGroup                                   2.0.1      NtObjectManager
Function        Get-NtTokenId                                      2.0.1      NtObjectManager
Function        Get-NtTokenIntegrityLevel                          2.0.1      NtObjectManager
Function        Get-NtTokenMandatoryPolicy                         2.0.1      NtObjectManager
Function        Get-NtTokenPrivilege                               2.0.1      NtObjectManager
Function        Get-NtTokenSid                                     2.0.1      NtObjectManager
Function        Get-NtTypeAccess                                   2.0.1      NtObjectManager
Function        Get-NtVirtualMemory                                2.0.1      NtObjectManager
Function        Get-NtWindow                                       2.0.1      NtObjectManager
Function        Get-NtWindowStationName                            2.0.1      NtObjectManager
Function        Get-NtWnf                                          2.0.1      NtObjectManager
Function        Get-RpcAlpcServer                                  2.0.1      NtObjectManager
Function        Get-RpcClient                                      2.0.1      NtObjectManager
Function        Get-RpcClientAssociationGroupId                    2.0.1      NtObjectManager
Function        Get-RpcClientSecurityContext                       2.0.1      NtObjectManager
Function        Get-RpcEndpoint                                    2.0.1      NtObjectManager
Function        Get-RpcInterface                                   2.0.1      NtObjectManager
Function        Get-RpcServer                                      2.0.1      NtObjectManager
Function        Get-RpcServicePrincipalName                        2.0.1      NtObjectManager
Function        Get-RpcStringBinding                               2.0.1      NtObjectManager
Function        Get-SamAlias                                       2.0.1      NtObjectManager
Function        Get-SamAliasMember                                 2.0.1      NtObjectManager
